"game_title","purchase_count"
"Dota 2","4841"
"Team Fortress 2","2323"
"Unturned","1563"
"Counter-Strike Global Offensive","1412"
"Half-Life 2 Lost Coast","981"
"Counter-Strike Source","978"
"Left 4 Dead 2","951"
"Counter-Strike","856"
"Warframe","847"
"Half-Life 2 Deathmatch","823"
"Garry's Mod","731"
"The Elder Scrolls V Skyrim","717"
"Robocraft","689"
"Counter-Strike Condition Zero Deleted Scenes","679"
"Counter-Strike Condition Zero","679"
"Heroes & Generals","658"
"Half-Life 2","639"
"Sid Meier's Civilization V","596"
"War Thunder","590"
"Portal","588"
