"game_title","total_playtime","avg_playtime"
"Dota 2","981685","202.8"
"Counter-Strike Global Offensive","322772","234.4"
"Team Fortress 2","173673","74.8"
"Counter-Strike","134261","236.4"
"Sid Meier's Civilization V","99821","180.2"
"Counter-Strike Source","96075","134.4"
"The Elder Scrolls V Skyrim","70889","104.7"
"Garry's Mod","49725","74.7"
"Call of Duty Modern Warfare 2 - Multiplayer","42010","144.4"
"Left 4 Dead 2","33597","41.9"
"Football Manager 2013","32309","310.7"
"Football Manager 2012","30846","390.5"
"Football Manager 2014","30575","392"
"Terraria","29952","65.1"
"Warframe","27075","63.9"
"Football Manager 2015","24283","315.4"
"Arma 3","24056","153.2"
"Grand Theft Auto V","22957","85.3"
"Borderlands 2","22668","58.7"
"Empire Total War","21030","98.3"
