"game_title","purchase_count","avg_playtime","engagement_ratio"
"Deathmatch Classic","524","0.7","0"
"Half-Life Deathmatch Source","268","0.8","0"
"Team Fortress Classic","366","0.9","0"
"Rise of Incarnates","146","0.9","0.01"
"Half-Life 2 Lost Coast","981","1","0"
"Ricochet","524","1","0"
"sZone-Online","102","1","0.01"
"Killing Floor Mod Defence Alliance 2","213","1.3","0.01"
"Patch testing for Chivalry","222","1.7","0.01"
"Cry of Fear","162","1.9","0.01"
"Free to Play","131","2.1","0.02"
"Half-Life Blue Shift","363","2.2","0.01"
"Hitman Sniper Challenge","122","2.2","0.02"
"Red Orchestra 2 Heroes of Stalingrad - Single Player","168","2.5","0.02"
"Arma 2 DayZ Mod","130","2.5","0.02"
"theHunter","248","2.5","0.01"
"Dino D-Day","108","2.6","0.02"
"Enclave","107","2.7","0.03"
"LIMBO","133","2.9","0.02"
"The Stanley Parable","110","3.1","0.03"
