"user_id","total_playtime","user_segment"
"151603712","439.9","重度用户"
"187131847","2.3","轻度用户"
"59945701","467.8","重度用户"
"53875128","1346.4","超级用户"
"140954425","13","中度用户"
"26122540","182.3","重度用户"
"176410694","9.1","轻度用户"
"197278511","0.5","轻度用户"
"150128162","42","中度用户"
"197455089","3.4","轻度用户"
"63024728","42","中度用户"
"297811211","44.7","中度用户"
"76933274","1","轻度用户"
"218323237","24.5","中度用户"
"302186258","4.2","轻度用户"
"126340495","2770.9","超级用户"
"194895541","1.5","轻度用户"
"170625356","7.4","轻度用户"
"167362888","135","重度用户"
"208649703","125","重度用户"
"225987202","3.8","轻度用户"
"195071563","6.2","轻度用户"
"254906420","1.2","轻度用户"
"247160953","1.9","轻度用户"
"308653033","0.6","轻度用户"
"144138643","5.2","轻度用户"
"97298878","220.6","重度用户"
"173909336","1141.1","超级用户"
"198572546","12.7","中度用户"
"219509107","2.1","轻度用户"
"202906503","10.4","中度用户"
"92107940","300.6","重度用户"
"251431515","0.9","轻度用户"
"233558010","113","重度用户"
"99189757","1085","超级用户"
"30695285","36.2","中度用户"
"259648553","16.9","中度用户"
"201069271","4.8","轻度用户"
"48845802","411.6","重度用户"
"226212066","136.4","重度用户"
"221430493","5.3","轻度用户"
"62923086","91","中度用户"
"250006052","505","超级用户"
"65117175","446.1","重度用户"
"227944885","62","中度用户"
"144004384","22","中度用户"
"236557903","3.2","轻度用户"
"11373749","3943.2","超级用户"
"140293612","278","重度用户"
"187851224","240","重度用户"
"192921532","8.1","轻度用户"
"54103616","2568.1","超级用户"
"222277839","86","中度用户"
"298547051","36.6","中度用户"
"264253640","170.5","重度用户"
"125718844","1.1","轻度用户"
"230599183","2.3","轻度用户"
"280061602","3","轻度用户"
"38763767","0.8","轻度用户"
"164543231","212","重度用户"
"163617342","1754.3","超级用户"
"295931968","6.6","轻度用户"
"165034415","3.6","轻度用户"
"298389371","237.6","重度用户"
"27543430","13.6","中度用户"
"126640783","9.9","轻度用户"
"119410870","4.5","轻度用户"
"243440565","42.5","中度用户"
"157694162","2","轻度用户"
"154868247","0.6","轻度用户"
"263856756","499","重度用户"
"124395695","29","中度用户"
"126656629","2.4","轻度用户"
"197821092","1.5","轻度用户"
"294797577","10.1","中度用户"
"228507886","6.5","轻度用户"
"272425320","5.4","轻度用户"
"49769103","265.4","重度用户"
"202742019","111.8","重度用户"
"239397807","0.4","轻度用户"
"300601393","25.4","中度用户"
"109278470","76","中度用户"
"197509386","550","超级用户"
"92842632","50.7","中度用户"
"103973922","306.5","重度用户"
"5270060","16.3","中度用户"
"171847029","1380.5","超级用户"
"111479516","865","超级用户"
"64350600","322.7","重度用户"
"117217039","60","中度用户"
"93085014","101","重度用户"
"180331040","1256","超级用户"
"180596443","23.7","中度用户"
"303032390","110","重度用户"
"150103338","1.9","轻度用户"
"92173524","1.7","轻度用户"
"151229648","1244.3","超级用户"
"253773352","0.3","轻度用户"
"250870371","0.3","轻度用户"
"175143479","1.9","轻度用户"
"56038151","647.7","超级用户"
"124884511","1447.3","超级用户"
"148928721","2721.1","超级用户"
"150965343","5.3","轻度用户"
"46759859","812.8","超级用户"
"268158408","5.7","轻度用户"
"257377008","33","中度用户"
"133262375","290","重度用户"
"202092286","7.6","轻度用户"
"136554467","164","重度用户"
"185040259","4.5","轻度用户"
"287943546","1.9","轻度用户"
"136246724","0.2","轻度用户"
"189191657","184.6","重度用户"
"57234698","5.9","轻度用户"
"198201128","19.2","中度用户"
"55446861","22","中度用户"
"2428602","474.4","重度用户"
"104077418","2.2","轻度用户"
"252438345","3.3","轻度用户"
"164927653","0.2","轻度用户"
"272820556","0.7","轻度用户"
"9544834","101.6","重度用户"
"287061478","409","重度用户"
"32592631","286.7","重度用户"
"57103808","1276.7","超级用户"
"215578265","1.2","轻度用户"
"197172884","0.4","轻度用户"
"242349023","56","中度用户"
"99609673","1","轻度用户"
"63276972","446.8","重度用户"
"183005527","6.4","轻度用户"
"92342574","1.1","轻度用户"
"255168531","3","轻度用户"
"87445402","136.2","重度用户"
"248613483","380","重度用户"
"107948398","316","重度用户"
"84668956","2.4","轻度用户"
"226130045","8.7","轻度用户"
"145904806","1.4","轻度用户"
"164591420","2.6","轻度用户"
"171982044","1.6","轻度用户"
"187533357","2.6","轻度用户"
"94088853","920.4","超级用户"
"48058475","774.9","超级用户"
"170095814","225.4","重度用户"
"212751581","432.7","重度用户"
"301883131","0.3","轻度用户"
"31887051","145","重度用户"
"116085629","80","中度用户"
"106238372","27.4","中度用户"
"202395275","4.3","轻度用户"
"248444377","278.4","重度用户"
"25941262","89.8","中度用户"
"148510973","1790.7","超级用户"
"64369759","579.6","超级用户"
"289893544","4.8","轻度用户"
"223471406","2.7","轻度用户"
"210778610","5.7","轻度用户"
"125699277","57","中度用户"
"173857208","0.6","轻度用户"
"9823354","2738.9","超级用户"
"165269326","26","中度用户"
"226033921","94","中度用户"
"232064401","4.5","轻度用户"
"141593973","423","重度用户"
"174965596","6.6","轻度用户"
"100519466","3584.3","超级用户"
"107886872","29.8","中度用户"
"153415214","0.2","轻度用户"
"180789959","23.3","中度用户"
"236541446","0.2","轻度用户"
"155997063","3","轻度用户"
"168031436","117.6","重度用户"
"169358223","407","重度用户"
"181269219","6","轻度用户"
"162543176","55.3","中度用户"
"95898619","672.7","超级用户"
"185685666","1.5","轻度用户"
"308280913","2.3","轻度用户"
"69857045","21","中度用户"
"215492239","6.2","轻度用户"
"16167221","1017","超级用户"
"19586574","206.7","重度用户"
"200759485","5.5","轻度用户"
"82792088","63","中度用户"
"153290864","0.8","轻度用户"
"213909719","67","中度用户"
"219446813","210","重度用户"
"41883322","427.1","重度用户"
"260269555","3.2","轻度用户"
"186333740","6.6","轻度用户"
"237047627","0.7","轻度用户"
"142004534","94","中度用户"
"99017037","278","重度用户"
"170491009","776.3","超级用户"
"195459356","0.5","轻度用户"
"30280104","6.8","轻度用户"
"227153589","1.2","轻度用户"
"64365339","118","重度用户"
"103669953","6.3","轻度用户"
"299670894","3.9","轻度用户"
"237275985","46","中度用户"
"178709401","200","重度用户"
"198156213","17","中度用户"
"190231757","18","中度用户"
"76216184","7.3","轻度用户"
"96674283","0.4","轻度用户"
"212284721","0.9","轻度用户"
"20321898","1","轻度用户"
"48239695","445","重度用户"
"207216516","229","重度用户"
"201512283","0.4","轻度用户"
"293463755","15.9","中度用户"
"131227694","179.3","重度用户"
"201697182","76","中度用户"
"150751526","885.8","超级用户"
"241208825","331","重度用户"
"249165768","695.9","超级用户"
"124462762","4.8","轻度用户"
"239478937","0.6","轻度用户"
"83851086","0.8","轻度用户"
"145658798","1.7","轻度用户"
"210669058","1.4","轻度用户"
"130280718","180.7","重度用户"
"81569401","891","超级用户"
"186996848","2.8","轻度用户"
"108601099","293","重度用户"
"108560573","83.8","中度用户"
"89161051","317","重度用户"
"287706524","0.1","轻度用户"
"65716118","845.1","超级用户"
"144004666","4.6","轻度用户"
"58237510","2219.4","超级用户"
"113308351","14.1","中度用户"
"303326013","29.2","中度用户"
"154210162","780","超级用户"
"146463817","12.2","中度用户"
"303693006","6.9","轻度用户"
"98152188","643","超级用户"
